U24;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
935001;Head of State;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935002;Head of Government;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935003;Foreign Minister;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935004;Minister of Armament;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935005;Minister of Security;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935006;Head of Military Intelligence;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935007;Chief of Staff;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935008;Chief of Army;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935009;Chief of Navy;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935010;Chief of Air Force;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
935011;Head of State;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935012;Head of Government;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935013;Foreign Minister;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935014;Minister of Armament;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935015;Minister of Security;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935016;Head of Military Intelligence;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935017;Chief of Staff;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935018;Chief of Army;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935019;Chief of Navy;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935020;Chief of Air Force;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
935021;Head of State;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935022;Head of Government;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935023;Foreign Minister;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935024;Minister of Armament;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935025;Minister of Security;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935026;Head of Military Intelligence;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935027;Chief of Staff;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935028;Chief of Army;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935029;Chief of Navy;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
935030;Chief of Air Force;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
