U43;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1030001;Head of State;Siegfried Kasche;1933;1964;NS;Ruthless Powermonger;Very High;7209;X
1030002;Head of Government;Wilhelm Adam;1933;1964;NS;Old General;Very High;L580;X
1030003;Foreign Minister;Siegfried Kasche;1933;1964;NS;The Cloak N Dagger Schemer;Very High;7209;X
1030004;Minister of Armament;Albert Speer;1933;1964;NS;Genius organizer;Medium;2645;X
1030005;Minister of Security;Gottlob Berger;1933;1964;NS;Efficient Sociopath;Very High;3537;X
1030006;Head of Military Intelligence;Gottlob Berger;1933;1964;NS;Political Specialist;Very High;3537;X
1030007;Chief of Staff;Fedor von Bock;1933;1964;NS;School of Defence;Very High;L279;X
1030008;Chief of Army;Fedor von Bock;1933;1964;NS;Static Defence Doctrine;Very High;L279;X
1030009;Chief of Navy;Erich Raeder;1933;1964;NS;Decisive Naval Battle Doctrine;High;2642;X
1030010;Chief of Air Force;Hermann Göring;1933;1964;NS;Army Aviation Doctrine;Very High;2643;X
