U76;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1195001;Head of State;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195002;Head of Government;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195003;Foreign Minister;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195004;Minister of Armament;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195005;Minister of Security;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195006;Head of Military Intelligence;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195007;Chief of Staff;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195008;Chief of Army;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195009;Chief of Navy;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195010;Chief of Air Force;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1195011;Head of State;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195012;Head of Government;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195013;Foreign Minister;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195014;Minister of Armament;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195015;Minister of Security;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195016;Head of Military Intelligence;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195017;Chief of Staff;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195018;Chief of Army;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195019;Chief of Navy;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195020;Chief of Air Force;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
1195021;Head of State;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195022;Head of Government;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195023;Foreign Minister;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195024;Minister of Armament;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195025;Minister of Security;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195026;Head of Military Intelligence;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195027;Chief of Staff;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195028;Chief of Army;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195029;Chief of Navy;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1195030;Chief of Air Force;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
