U49;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;;x
1060001;Head of State;Vittorio Emanuele III;1933;1948;FA;Weary Stiffneck;High;M3001;x
1060002;Head of Government;Amedeo di Savoia-Aosta;1933;1964;PA;Silent Workhorse;High;3722;x
1060003;Foreign Minister;Gian Galeazzo Ciano;1933;1964;FA;Ideological Crusader;Very High;M3003;x
1060004;Minister of Armament;Amedeo di Savoia-Aosta;1933;1964;PA;Military Entrepreneur;Very High;3722;x
1060005;Minister of Security;Guglielmo Nasi;1933;1964;PA;Crime Fighter;Very High;3723;x
1060006;Head of Military Intelligence;Guglielmo Nasi;1933;1964;PA;Industrial Specialist;Very High;3723;x
1060007;Chief of Staff;Pietro Gazzera;1933;1964;PA;School of Mass Combat;High;3724;x
1060008;Chief of Army;Pietro Gazzera;1933;1964;PA;Guns and Butter Doctrine;High;3724;x
1060009;Chief of Navy;Domenico Cavagnari;1933;1964;FA;Decisive Naval Battle Doctrine;Medium;M3009;x
1060010;Chief of Air Force;Giuseppe Valle;1933;1964;FA;Army Aviation Doctrine;Medium;M3010;x
1060011;Head of State;Vittorio Emanuele III;1933;1948;SC;Weary Stiffneck;High;M3001;x
1060012;Head of State;Umberto II;1933;1964;PA;Autocratic Charmer;High;M3011;x
1060013;Head of State;Umberto II;1933;1964;SC;Autocratic Charmer;High;M3011;x
1060014;Head of State;Benito Mussolini;1933;1964;NS;Barking Buffoon;High;2688;x
