U25;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
940001;Head of State;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940002;Head of Government;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940003;Foreign Minister;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940004;Minister of Armament;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940005;Minister of Security;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940006;Head of Military Intelligence;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940007;Chief of Staff;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940008;Chief of Army;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940009;Chief of Navy;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940010;Chief of Air Force;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
940011;Head of State;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940012;Head of Government;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940013;Foreign Minister;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940014;Minister of Armament;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940015;Minister of Security;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940016;Head of Military Intelligence;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940017;Chief of Staff;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940018;Chief of Army;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940019;Chief of Navy;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940020;Chief of Air Force;Black Shadow;1933;1964;FA;Undistinguished Suit;Very High;unknown;X
940021;Head of State;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940022;Head of Government;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940023;Foreign Minister;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940024;Minister of Armament;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940025;Minister of Security;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940026;Head of Military Intelligence;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940027;Chief of Staff;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940028;Chief of Army;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940029;Chief of Navy;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
940030;Chief of Air Force;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
