U20;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
915001;Head of State;Juho K. Paasikivi;1945;1964;LWR;Autocratic Charmer;High;2509;X
915002;Head of State;Otto Ville Kuusinen;1933;1964;ST;Ruthless Powermonger;High;2513;X
915003;Head of Government;V. Kivisalo;1933;1964;LWR;Naive Optimist;High;2514;X
915004;Head of Government;Mauno Pekkala;1945;1964;LWR;Political Protege;High;2516;X
915005;Head of Government;Otto Ville Kuusinen;1939;1964;ST;Flamboyant Tough Guy;High;2513;X
915006;Foreign Minister;Anselmi Pitkäsilta;1933;1964;LWR;Apologetic Clerk;Medium;M29067;X
915007;Foreign Minister;V. Kivisalo;1943;1964;LWR;Iron Fisted Brute;Very High;2514;X
915008;Foreign Minister;Carl J. Enckell;1944;1964;LWR;Great Compromiser;Medium;2521;X
915009;Foreign Minister;Otto Ville Kuusinen;1939;1964;ST;Apologetic Clerk;Low;2513;X
915010;Foreign Minister;Hella M. Wuolijoki;1942;1964;ST;Great Compromiser;Low;2523;X
915011;Minister of Armament;V. Viljam Sinisalo;1933;1964;LWR;Strategic Air Proponent;Medium;M29082;X
915012;Minister of Armament;Karl-August Fagerholm;1943;1964;LWR;Laissez-Faire Capitalist;Medium;2524;X
915013;Minister of Armament;Mauno Pekkala;1944;1964;LWR;Theoretical Scientist;Medium;2516;X
915014;Minister of Armament;Otto Toivonen;1946;1964;LWR;Military Entrepreneur;Medium;M29085;X
915015;Minister of Armament;Mauritz F. Rosenberg;1939;1964;ST;Resource Industrialist;Low;2526;X
915016;Minister of Security;Hugo E. Aattela;1943;1964;LWR;Prince of Terror;Medium;2527;X
915017;Minister of Security;Valfrid Eskola;1944;1964;LWR;Back Stabber;Medium;2528;X
915018;Minister of Security;Olavi I. Kajala;1946;1964;LWR;Crime Fighter;Medium;2529;X
915019;Minister of Security;Yrjö K. Leino;1933;1964;ST;Man of the People;Low;M29025;X
915020;Head of Military Intelligence;Edvard Kajala;1933;1964;LWR;Naval Intelligence Specialist;High;M29120;X
915021;Head of Military Intelligence;Bruno Suviranta;1944;1964;LWR;Dismal Enigma;High;2533;X
915022;Head of Military Intelligence;Tuure V. Lehén;1939;1964;ST;Political Specialist;High;2536;X
915023;Chief of Staff;Leonard A. M. Grandell;1933;1964;LWR;School of Fire Support;Very High;392;X
915024;Chief of Staff;Akseli Anttila;1939;1964;ST;School of Mass Combat;Very High;2537;X
915025;Chief of Army;Kaarle Väinö Voionmaa;1933;1964;LWR;Guns and Butter Doctrine;Very High;M29140;X
915026;Chief of Army;Akseli Anttila;1939;1964;ST;Guns and Butter Doctrine;Very High;2537;X
915027;Chief of Navy;Claes H.;1933;1964;LWR;Open Seas Doctrine;High;M29148;X
915028;Chief of Navy;Eero Rahola;1939;1964;ST;Indirect Approach Doctrine;Very High;M29029;X
915029;Chief of Air Force;V. V. Valtsu Porvari;1933;1964;LWR;Army Aviation Doctrine;Very High;2539;X
915030;Chief of Air Force;Akseli Anttila;1939;1964;ST;Army Aviation Doctrine;Very High;2537;X
915031;Head of Government;Karl-August Fagerholm;1948;1964;LWR;Ambitious Union Boss;High;2524;X
915032;Minister of Armament;Ralf J. G. Törngren;1948;1964;LWR;Military Entrepreneur;Medium;2540;X
915033;Minister of Security;Karl-August Fagerholm;1948;1964;LWR;Man of the People;Medium;2524;X
915034;Chief of Staff;Johannes Sihvo;1948;1964;LWR;School of Psychology;Very High;419;X
915035;Chief of Army;K. Lauri T. Malmberg;1947;1964;LWR;Armoured Spearhead Doctrine;Very High;407;X
915036;Chief of Navy;Jouko O. Arho;1948;1964;LWR;Indirect Approach Doctrine;Medium;L9757;X
915037;Chief of Air Force;Olavi Sarko;1948;1964;LWR;Vertical Envelopment Doctrine;Very High;L9777;X
