U45;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1040001;Head of State;Josef Terboven;1933;1964;NS;Ruthless Powermonger;Very High;7211;X
1040002;Head of Government;Vidkun Quisling;1933;1964;NS;Corporate Suit;High;M14012;X
1040003;Foreign Minister;Vidkun Quisling;1933;1964;NS;The Cloak N Dagger Schemer;High;M14012;X
1040004;Minister of Armament;Josef Terboven;1933;1964;NS;Infantry Proponent;Very High;7211;X
1040005;Minister of Security;Wilhelm Rediess;1933;1964;NS;Efficient Sociopath;Very High;7212;X
1040006;Head of Military Intelligence;Wilhelm Rediess;1933;1964;NS;Political Specialist;Very High;7212;X
1040007;Chief of Staff;Franz Friedrich Böhme;1933;1964;NS;School of Defence;Very High;L36;X
1040008;Chief of Army;Nikolaus von Falkenhorst;1933;1964;NS;Static Defence Doctrine;Very High;L294;X
1040009;Chief of Navy;Erich Raeder;1933;1964;NS;Decisive Naval Battle Doctrine;High;2642;X
1040010;Chief of Air Force;Hermann Göring;1933;1964;NS;Army Aviation Doctrine;Very High;2643;X
